# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.366940375804e-10       4.151962624806e-15       3.524068912174e-13       0.000000000000e+00       8.356940929370e-09       4.474437551701e-10      -1.831042331813e-12 
    3       1.294719024654e-10       5.337340434406e-15       3.954632741856e-13       0.000000000000e+00       5.077442680251e-09       3.160628834502e-10      -1.390087008332e-12 
    4       1.226206099286e-10       4.635731171347e-15       3.705388437710e-13       0.000000000000e+00       3.508656896939e-09       2.388844634552e-10      -9.123354120243e-13 
    5       1.175130796066e-10       3.102525154149e-15       3.155955313348e-13       0.000000000000e+00       2.606528964141e-09       1.883918905204e-10      -5.081062538759e-13 
    6       1.140078961238e-10       1.738819054395e-15       2.543119475729e-13       0.000000000000e+00       2.028630136459e-09       1.530595428522e-10      -2.095826836956e-13 
    7       1.117580084433e-10       9.383129946996e-16       1.997399719427e-13       0.000000000000e+00       1.631565032382e-09       1.271875382259e-10      -1.849110165730e-14 
    8       1.104539547420e-10       6.022213366623e-16       1.576892753847e-13       0.000000000000e+00       1.344777266899e-09       1.076107337803e-10       7.965708787038e-14 
    9       1.098539042080e-10       4.819204432012e-16       1.294876908633e-13       0.000000000000e+00       1.129714839273e-09       9.241191806450e-11       1.077705301331e-13 
   10       1.097816740805e-10       4.108880559269e-16       1.138056140958e-13       0.000000000000e+00       9.636420340222e-10       8.035412749490e-11       9.140071567850e-14 
   11       1.101069596599e-10       3.454929114677e-16       1.079944915882e-13       0.000000000000e+00       8.275622507101e-10       7.139505738065e-11       5.447380738950e-14 
   12       1.107413141337e-10       3.006604796360e-16       1.090682962211e-13       0.000000000000e+00       7.229758614942e-10       6.321643253179e-11       1.472129574944e-14 
   13       1.116157298923e-10       2.878238428581e-16       1.143421893291e-13       0.000000000000e+00       6.371301878315e-10       5.639728448874e-11      -1.609604989512e-14 
   14       1.126852315211e-10       2.994462432246e-16       1.217608165464e-13       0.000000000000e+00       5.657180666052e-10       5.063237339781e-11      -3.307093735660e-14 
   15       1.139127691794e-10       3.236985846291e-16       1.299897963390e-13       0.000000000000e+00       5.056209914679e-10       4.569874081922e-11      -3.664312200512e-14 
   16       1.152746114766e-10       3.577702942631e-16       1.383589942321e-13       0.000000000000e+00       4.545320577632e-10       4.144519983789e-11      -3.060393625648e-14 
   17       1.167502481993e-10       4.069763272468e-16       1.467075360198e-13       0.000000000000e+00       4.107120471764e-10       3.774837357062e-11      -2.005237997191e-14 
   18       1.183213729723e-10       4.767478811492e-16       1.551843115219e-13       0.000000000000e+00       3.728279598523e-10       3.451942831187e-11      -9.650435526059e-15 
   19       1.199778079277e-10       5.681046249553e-16       1.640294835774e-13       0.000000000000e+00       3.398430136497e-10       3.168572774789e-11      -2.560742516216e-15 
   20       1.217046528425e-10       6.791750828551e-16       1.734072166887e-13       0.000000000000e+00       3.109401521168e-10       2.918446543886e-11      -6.638047085598e-17 
   21       1.234993708438e-10       8.085133694622e-16       1.833073022949e-13       0.000000000000e+00       2.854678474368e-10       2.697410179838e-11      -1.723973484155e-15 
   22       1.253509104098e-10       9.561975501498e-16       1.935284689911e-13       0.000000000000e+00       2.629010249118e-10       2.500851192799e-11      -6.000731296611e-15 
   23       1.272543467242e-10       1.122704511822e-15       2.037441008920e-13       0.000000000000e+00       2.428124442284e-10       2.324758519293e-11      -1.098078524501e-14 
   24       1.292076447459e-10       1.307897615914e-15       2.135765162807e-13       0.000000000000e+00       2.248513979896e-10       2.165982196898e-11      -1.501178847391e-14 
   25       1.312039947732e-10       1.511444730192e-15       2.226926969077e-13       0.000000000000e+00       2.087276247204e-10       2.022457475867e-11      -1.710158033264e-14 
   26       1.332456113811e-10       1.733898799206e-15       2.308585318071e-13       0.000000000000e+00       1.941991734201e-10       1.892313457899e-11      -1.705819196103e-14 
   27       1.353262748453e-10       1.977074208468e-15       2.379553116799e-13       0.000000000000e+00       1.810629278890e-10       1.773752501740e-11      -1.536142704539e-14 
   28       1.374413824063e-10       2.243367354668e-15       2.439911266451e-13       0.000000000000e+00       1.691473554149e-10       1.665427087216e-11      -1.286751848233e-14 
   29       1.395967278432e-10       2.534828800775e-15       2.490336242911e-13       0.000000000000e+00       1.583066990403e-10       1.566285594773e-11      -1.049038962434e-14 
   30       1.417808604387e-10       2.852803516356e-15       2.531774712110e-13       0.000000000000e+00       1.484164561317e-10       1.475570027438e-11      -8.915727979348e-15 
   31       1.439980001841e-10       3.198176268572e-15       2.565021205948e-13       0.000000000000e+00       1.393696715592e-10       1.392579108736e-11      -8.441645050833e-15 
   32       1.462483540270e-10       3.571733502345e-15       2.590050509130e-13       0.000000000000e+00       1.310741701854e-10       1.316435259912e-11      -8.979252984018e-15 
   33       1.485193511224e-10       3.974229365753e-15       2.606377057109e-13       0.000000000000e+00       1.234500125708e-10       1.246100712404e-11      -1.017072411487e-14 
