# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.366944914750e-10       4.152209497411e-15       3.524065438430e-13       2.490002416779e-19       8.356940929370e-09       4.474437551701e-10      -1.831042331813e-12 
    3       1.294728118663e-10       5.337827231528e-15       3.954623073651e-13       4.976285151407e-19       5.077442680251e-09       3.160628834502e-10      -1.390087008332e-12 
    4       1.226221396476e-10       4.636541519029e-15       3.705372325330e-13       8.290241713841e-19       3.508656896939e-09       2.388844634552e-10      -9.123354120243e-13 
    5       1.175153851085e-10       3.103748549324e-15       3.155934366234e-13       1.243371146306e-18       2.606528964141e-09       1.883918905204e-10      -5.081062538759e-13 
    6       1.140111260358e-10       1.740544142808e-15       2.543096018091e-13       1.740843813625e-18       2.028630136459e-09       1.530595428522e-10      -2.095826836956e-13 
    7       1.117623048970e-10       9.406237521393e-16       1.997375766335e-13       2.321575396088e-18       1.631565032382e-09       1.271875382259e-10      -1.849110165730e-14 
    8       1.104594539768e-10       6.051987149443e-16       1.576869353201e-13       2.985692741389e-18       1.344777266899e-09       1.076107337803e-10       7.965708787038e-14 
    9       1.098607373473e-10       4.856459057543e-16       1.294853867218e-13       3.733344583450e-18       1.129714839273e-09       9.241191806450e-11       1.077705301331e-13 
   10       1.097899677203e-10       4.154451284522e-16       1.138032098792e-13       4.564704041282e-18       9.636420340222e-10       8.035412749490e-11       9.140071567850e-14 
   11       1.101168363315e-10       3.509662718138e-16       1.079917657028e-13       5.479959157930e-18       8.275622507101e-10       7.139505738065e-11       5.447380738950e-14 
   12       1.107528925873e-10       3.071345925528e-16       1.090649811116e-13       6.479306940382e-18       7.229758614942e-10       6.321643253179e-11       1.472129574944e-14 
   13       1.116291254110e-10       2.953827278257e-16       1.143380060368e-13       7.562950923849e-18       6.371301878315e-10       5.639728448874e-11      -1.609604989512e-14 
   14       1.127005560624e-10       3.081741467973e-16       1.217554957174e-13       8.731101986779e-18       5.657180666052e-10       5.063237339781e-11      -3.307093735660e-14 
   15       1.139301316574e-10       3.336804438960e-16       1.299830826347e-13       9.983975590672e-18       5.056209914679e-10       4.569874081922e-11      -3.664312200512e-14 
   16       1.152941176322e-10       3.690914826263e-16       1.383506350210e-13       1.132178871984e-17       4.545320577632e-10       4.144519983789e-11      -3.060393625648e-14 
   17       1.167720008543e-10       4.197221243781e-16       1.466972595673e-13       1.274475809824e-17       4.107120471764e-10       3.774837357062e-11      -2.005237997191e-14 
